City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Fermoy,IE,51.31,overcast clouds,52.1358,-8.2758,Fishermen's Rest
114,Bud,US,75.85,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
115,Bethel,US,77.49,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
116,Lacombe,CA,66.74,clear sky,52.4668,-113.7353,Greenway Inn Travelodge
117,Itoman,JP,80.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
119,Muroto,JP,75.11,clear sky,33.2833,134.15,Oota Ryokan
120,Yellowknife,CA,52.41,few clouds,62.456,-114.3525,The Explorer Hotel
122,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
124,Hobart,AU,54.1,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
125,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
127,Buala,SB,78.75,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
129,Port Hawkesbury,CA,62.19,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
133,Ponta Do Sol,PT,76.71,overcast clouds,32.6667,-17.1,Hotel do Campo
135,Los Llanos De Aridane,ES,71.35,scattered clouds,28.6585,-17.9182,Valle Aridane
136,Antalaha,MG,69.66,light rain,-14.9003,50.2788,Hotel Vitasoa
138,Broome,US,65.21,overcast clouds,42.2506,-75.833,Chenango Valley State Park
140,Kurilsk,RU,55.94,moderate rain,45.2333,147.8833,Hotel Ostrov
142,Gombe,NG,82.62,clear sky,10.2897,11.1673,Shinani Lodge
143,Kavieng,PG,80.92,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
144,Rio Gallegos,AR,60.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
147,Grand Gaube,MU,72.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
150,East London,ZA,56.34,light rain,-33.0153,27.9116,Tu Casa
155,Portland,US,68.11,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
157,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
160,Naze,JP,77.34,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
162,Westport,US,79.29,clear sky,41.1415,-73.3579,The Westport Inn
163,Guaruja,BR,77.16,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
164,Iringa,TZ,60.24,few clouds,-7.7667,35.7,M.R. Hotels ltd.
165,Mouila,GA,75.43,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
166,Alice Town,BS,81.61,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
167,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
168,San Quintin,MX,80.6,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
171,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
172,Kahului,US,81.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
174,Havoysund,NO,50.88,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
175,Sambava,MG,71.6,light rain,-14.2667,50.1667,Melrose
177,Lebu,CL,52.74,clear sky,-37.6167,-73.65,Hostal Las Lilas
179,Fushun,CN,58.71,overcast clouds,41.8558,123.9233,Love Theme Apartment Xinhua Branch
185,Kruisfontein,ZA,54.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
186,Halifax,CA,62.65,overcast clouds,44.6453,-63.5724,Hotel Halifax
187,Ajdabiya,LY,73.42,clear sky,30.7554,20.2263,Almadina Hotel
191,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
193,Pingshan,CN,74.08,light rain,22.9938,114.7131,Island Skylight Resort
194,Port Lincoln,AU,52.25,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
198,Huambo,AO,72.86,broken clouds,-12.7761,15.7392,SiSHotel
200,Sao Filipe,CV,80.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
202,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
203,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
204,Marsaxlokk,MT,74.08,few clouds,35.8419,14.5431,Water's Edge
205,Wewak,PG,77.61,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
206,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
208,Solwezi,ZM,66.07,light rain,-12.1688,26.3894,Country Lodge Solwezi
212,Kudahuvadhoo,MV,83.34,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
215,Wanning,CN,79.43,broken clouds,18.8003,110.3967,Paradise Hotel
217,Lichtenburg,ZA,55.69,clear sky,-26.152,26.1597,Kennzy Guest House
220,Roald,NO,59.92,clear sky,62.5833,6.1333,Flem Cabins
221,Havre-Saint-Pierre,CA,55.76,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
222,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
225,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
226,Sechura,PE,77.88,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
230,Puri,IN,82.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
231,Cairns,AU,74.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
232,Shimoda,JP,67.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
233,Moron,AR,63.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
234,Kalabo,ZM,77.9,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
235,Caravelas,BR,80.08,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
236,Comodoro Rivadavia,AR,64.26,scattered clouds,-45.8667,-67.5,Austral Hotel
238,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn
240,Kulhudhuffushi,MV,82.11,broken clouds,6.6221,73.07,Hondaafushi Island Resort
241,Guadalupe Y Calvo,MX,57.67,overcast clouds,26.1,-106.9667,Hotel Pizarro
242,Ahuimanu,US,79.45,light rain,21.4447,-157.8378,Paradise Bay Resort
243,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
245,Asau,RO,51.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
246,Coihaique,CL,53.55,light intensity shower rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
247,Padang,ID,77.32,overcast clouds,-0.9492,100.3543,Mercure Padang
