City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Blair,IN,11.6667,92.75,80.38,81,20,6.31,few clouds
80,Griffith,US,41.5284,-87.4237,78.89,78,90,1.01,overcast clouds
81,Isangel,VU,-19.55,169.2667,75.31,88,5,3.44,clear sky
82,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
83,Upata,VE,8.0086,-62.3989,84.2,71,96,5.66,overcast clouds
84,Barmer,IN,25.75,71.3833,84.33,64,6,14.25,clear sky
85,Araripina,BR,-7.5761,-40.4983,92.86,18,0,10.85,clear sky
86,Kokopo,PG,-4.352,152.2633,76.32,85,83,6.58,broken clouds
87,Port Alfred,ZA,-33.5906,26.891,56.8,73,48,7.9,light rain
88,Lasa,IT,46.6166,10.7002,58.08,97,89,5.59,overcast clouds
89,Kuala Terengganu,MY,5.3302,103.1408,76.95,94,20,3.44,few clouds
90,Flinders,AU,-34.5833,150.8552,62.8,79,96,1.01,overcast clouds
91,Saldanha,ZA,-33.0117,17.9442,55.45,70,0,24.52,clear sky
92,Faanui,PF,-16.4833,-151.75,78.69,70,17,12.01,few clouds
93,Toora-Khem,RU,52.4675,96.11,24.75,67,100,1.07,overcast clouds
94,Belomorsk,RU,64.5232,34.7668,44.28,93,0,7.38,clear sky
95,Yingkou,CN,40.6648,122.2283,60.12,79,100,20.0,moderate rain
96,Tautira,PF,-17.7333,-149.15,80.62,77,10,9.53,light rain
97,Hovd,MN,48.0056,91.6419,32.63,36,1,3.56,clear sky
98,Makakilo City,US,21.3469,-158.0858,79.29,80,40,5.75,light intensity drizzle
99,Manggar,ID,-2.8833,108.2667,79.63,81,100,4.09,overcast clouds
100,Butaritari,KI,3.0707,172.7902,82.36,65,100,17.63,overcast clouds
101,Nantucket,US,41.2835,-70.0995,73.74,76,40,14.97,scattered clouds
102,Izazi,TZ,-7.2,35.7333,78.78,37,41,6.38,scattered clouds
103,Usinsk,RU,65.9939,57.5281,31.17,76,23,8.9,few clouds
104,Severo-Kurilsk,RU,50.6789,156.125,47.61,82,72,40.31,broken clouds
105,Broken Hill,AU,-31.95,141.4333,53.31,58,0,11.5,clear sky
106,Safaga,EG,26.7292,33.9365,82.35,47,0,14.45,clear sky
107,Hermanus,ZA,-34.4187,19.2345,54.9,71,37,7.11,scattered clouds
